latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-24.64166,150.31436,335.7,0.71,0.75,2021-01-29,0242,1,nominal,2.0NRT,294.5,4.3,D
-23.22795,149.87244,340.9,0.73,0.76,2021-01-29,0242,1,nominal,2.0NRT,292.1,12.1,D
-43.11599,172.71307,347.4,0.41,0.37,2021-01-29,0236,1,nominal,2.0NRT,283.5,4.4,D
-29.01516,151.44566,355.6,0.66,0.73,2021-01-29,0236,1,nominal,2.0NRT,295.2,11.6,D
-29.0084,151.44458,334.7,0.66,0.73,2021-01-29,0236,1,nominal,2.0NRT,293.8,6.8,D
-29.01334,151.44331,367,0.66,0.73,2021-01-29,0236,1,high,2.0NRT,295.6,17.6,D
-21.16071,148.07039,367,0.35,0.57,2021-01-29,0424,1,high,2.0NRT,297.9,21.9,D
-21.16287,148.06021,367,0.35,0.57,2021-01-29,0424,1,high,2.0NRT,298,20.8,D
-21.16146,148.06685,331.6,0.35,0.57,2021-01-29,0424,1,nominal,2.0NRT,295,12.3,D
-21.1622,148.0634,344,0.35,0.57,2021-01-29,0424,1,nominal,2.0NRT,295,12.3,D
-21.1635,148.05725,348.8,0.35,0.57,2021-01-29,0424,1,nominal,2.0NRT,296.4,20.8,D
-21.15544,148.06952,344.4,0.35,0.57,2021-01-29,0424,1,nominal,2.0NRT,295,5.2,D
-21.52863,145.23082,354.7,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,310.4,26.6,D
-21.5243,145.22986,339.1,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,307.7,13.1,D
-21.52861,145.2076,341.7,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,308.1,8.4,D
-21.52342,145.21107,355.6,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,309,22.9,D
-21.51304,145.21808,346.7,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,309.4,24.6,D
-21.51391,145.21362,342,0.46,0.47,2021-01-29,0424,1,nominal,2.0NRT,306.8,15.6,D
-20.28383,147.6812,332,0.35,0.57,2021-01-29,0424,1,nominal,2.0NRT,295.3,3.2,D
-20.12653,146.33546,349.7,0.58,0.52,2021-01-29,0424,1,nominal,2.0NRT,300.7,12.4,D
-20.12662,146.33827,346.5,0.58,0.52,2021-01-29,0424,1,nominal,2.0NRT,299.8,6.7,D
-20.12773,146.3327,335.3,0.58,0.52,2021-01-29,0424,1,nominal,2.0NRT,301,6.7,D
-20.31285,143.02283,348.2,0.54,0.42,2021-01-29,0424,1,nominal,2.0NRT,313.4,23.3,D
-20.15852,139.88206,349,0.4,0.37,2021-01-29,0424,1,nominal,2.0NRT,301.3,23.1,D
-20.15914,139.87823,354.9,0.4,0.37,2021-01-29,0424,1,nominal,2.0NRT,305.9,23.1,D
-20.14283,139.87137,336.9,0.4,0.37,2021-01-29,0424,1,nominal,2.0NRT,294.2,3.1,D
-20.13882,139.8746,336.9,0.4,0.37,2021-01-29,0424,1,nominal,2.0NRT,288.5,2,D
-20.13418,139.8817,340.3,0.4,0.37,2021-01-29,0424,1,nominal,2.0NRT,304.7,7.5,D
-19.47136,139.79434,367,0.4,0.37,2021-01-29,0424,1,high,2.0NRT,299.9,17,D
-19.47079,139.79459,356.2,0.41,0.37,2021-01-29,0424,1,nominal,2.0NRT,301.4,15.2,D
-19.46801,139.79013,339.3,0.41,0.37,2021-01-29,0424,1,nominal,2.0NRT,300.1,7.2,D
-19.46462,139.78952,340.3,0.41,0.37,2021-01-29,0424,1,nominal,2.0NRT,303.8,4.1,D
