latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-29.01177,151.44717,346.9,0.4,0.37,2021-01-29,0330,N,nominal,2.0NRT,309.1,22.5,D
-27.59207,149.41982,335,0.46,0.39,2021-01-29,0330,N,nominal,2.0NRT,305.9,10.1,D
-27.05179,153.0377,340,0.38,0.36,2021-01-29,0330,N,nominal,2.0NRT,304,6.7,D
-26.89018,153.08273,330.1,0.39,0.36,2021-01-29,0330,N,low,2.0NRT,302.2,4.1,D
-27.58375,147.21024,347.2,0.39,0.44,2021-01-29,0330,N,nominal,2.0NRT,311.4,13.4,D
-27.58014,147.20569,367,0.39,0.44,2021-01-29,0330,N,high,2.0NRT,313.5,22.8,D
-26.89101,148.71678,337,0.48,0.4,2021-01-29,0330,N,low,2.0NRT,307.9,4.9,D
-26.88964,148.71846,346,0.48,0.4,2021-01-29,0330,N,nominal,2.0NRT,307.8,7.4,D
-26.0195,150.82312,341.8,0.4,0.37,2021-01-29,0330,N,low,2.0NRT,305.1,8.4,D
-26.01215,150.85054,335.1,0.4,0.37,2021-01-29,0330,N,low,2.0NRT,304.3,6.3,D
-26.01554,150.82655,349.4,0.4,0.37,2021-01-29,0330,N,nominal,2.0NRT,306.4,12.5,D
-26.08129,148.39238,332.9,0.49,0.4,2021-01-29,0330,N,low,2.0NRT,304.2,5.1,D
-25.78178,148.33954,345.4,0.49,0.4,2021-01-29,0330,N,low,2.0NRT,299.8,13.7,D
-25.75436,148.18701,345.3,0.49,0.41,2021-01-29,0330,N,nominal,2.0NRT,308.1,4.3,D
-25.7506,148.18642,349.7,0.49,0.41,2021-01-29,0330,N,nominal,2.0NRT,308.5,9.5,D
-25.73304,148.17355,335.7,0.5,0.41,2021-01-29,0330,N,low,2.0NRT,307.2,4.8,D
-25.72928,148.17299,347.9,0.5,0.41,2021-01-29,0330,N,nominal,2.0NRT,303.2,11.2,D
-25.7299,148.16798,338.3,0.5,0.41,2021-01-29,0330,N,low,2.0NRT,308.5,6.3,D
-23.77505,151.20981,336.6,0.39,0.36,2021-01-29,0330,N,low,2.0NRT,309.3,4.1,D
-23.7734,151.1978,339.3,0.39,0.36,2021-01-29,0330,N,low,2.0NRT,309.7,2.8,D
-23.47077,149.96265,349.3,0.41,0.37,2021-01-29,0330,N,low,2.0NRT,307,20,D
-23.45603,149.9928,343.3,0.4,0.37,2021-01-29,0330,N,nominal,2.0NRT,303.7,6.3,D
-23.74855,145.23642,343.8,0.45,0.47,2021-01-29,0330,N,nominal,2.0NRT,308.2,10,D
-22.92534,146.27316,338.7,0.39,0.44,2021-01-29,0330,N,nominal,2.0NRT,294.3,2.5,D
-22.90886,146.34387,333.9,0.38,0.43,2021-01-29,0330,N,nominal,2.0NRT,301.1,5.1,D
-22.90201,146.29707,331.5,0.38,0.44,2021-01-29,0330,N,nominal,2.0NRT,297,3.7,D
-22.90212,146.29671,339.4,0.38,0.44,2021-01-29,0330,N,nominal,2.0NRT,297.2,5.9,D
