y,x,z
-34.090701,141.105795,29.165
-34.119088,141.186361,24.554
-34.150494,141.250185,27.726
-34.195383,141.318565,26
-34.2131,141.377756,28.751
-34.2443,141.441504,28.158
-34.245252,141.512682,44.568
-34.25967,141.588387,35
-34.293849,141.635413,60.918
-34.278005,141.718419,59.584
-34.265301,141.78474,54.615
-34.252572,141.850986,56.358
-34.239818,141.917156,58.242
-34.227039,141.983252,46.511
-34.214144,142.049099,60.133
-34.197682,142.130734,51.849
-34.228029,142.1934,62.279
-34.275032,142.244334,41.682
-34.325293,142.278975,44.567
-34.372179,142.329935,43.374
-34.412303,142.343709,45.755
-34.475791,142.382987,55.843
-34.529206,142.401381,46.358
-34.595926,142.424391,48.209
-34.64926,142.442812,55.029
-34.702558,142.461244,54.835
-34.755815,142.479678,51.58
-34.805656,142.514438,56.461
-34.85545,142.549214,65.464
-34.908584,142.567683,74.088
-34.951496,142.635128,64.915
-34.934484,142.71666,67.007
-34.89774,142.756275,70.181
-34.844313,142.807491,64
-34.794283,142.842383,67.6
-34.734383,142.856361,62.209
-34.677869,142.854089,74.495
-34.650946,142.91438,65.406
-34.663817,142.988508,57.372
-34.689887,143.067234,63.033
-34.719324,143.129741,60.56
-34.748702,143.192237,59.062
-34.778022,143.254721,62.131
-34.837176,143.310346,62.584
-34.883044,143.361326,60.12
-34.935818,143.379988,65.987
-34.992043,143.382489,67.428
-35.048239,143.384994,66.118
-35.104409,143.387499,69.292
-35.160532,143.389967,74.653
-35.219903,143.375672,84.171
-35.285388,143.398412,88.006
-35.350842,143.42118,86.575
-35.379466,143.483313,81.696
-35.39494,143.540808,73.943
-35.416305,143.635112,70.452
-35.441162,143.713285,71.175
-35.486176,143.763799,73.153
-35.514517,143.825886,73.926
-35.555841,143.892578,73.718
-35.584084,143.954704,75.767
-35.615906,144.000734,76.839
-35.644067,144.062891,78.7
-35.688826,144.11358,82.647
-35.729896,144.180409,88.66
-35.757917,144.242628,89.578
-35.811851,144.314139,92.155
-35.839761,144.376385,96.952
-35.884282,144.427219,92.104
-35.925065,144.494181,88.984
-35.969495,144.545084,89.181
-36.013883,144.596021,92.891
-36.054507,144.663085,95.293
-36.098804,144.714091,97
-36.139318,144.781222,98.128
-36.150175,144.854965,96.799
-36.1222,144.914315,96.462
-36.05923,144.94345,95.859
-35.996248,144.972542,96.997
-35.933252,145.00159,107.452
-35.874024,145.014637,115.767
-35.85511,145.094398,109.747
-35.839943,145.158168,123.003
-35.824744,145.221905,111.869
-35.813325,145.269686,106.994
-35.836779,145.347642,107.74
-35.856346,145.441538,118.178
-35.844842,145.489276,109.754
-35.864291,145.583171,112.389
-35.891382,145.645277,127.903
-35.914565,145.723311,114.194
-35.941568,145.785469,115.934
-35.955666,145.842819,119.616
-35.978702,145.920913,136.629
-36.005585,145.983139,131.407
-36.028516,146.06128,129.497
-36.038544,146.134565,129.642
-36.048525,146.20785,129.944
-36.058431,146.281108,136.67
-36.059388,146.333584,137.754
-36.078035,146.427605,153.25
-36.074947,146.495959,163.883
-36.084641,146.569248,181.417
-36.085473,146.621754,187.411
-36.091081,146.710926,199.066
-36.075019,146.774326,144.219
-36.071737,146.842679,148.646
-36.055606,146.906044,209.493
-36.052249,146.97438,175.294
-36.052908,147.02688,200.141
-36.045419,147.111041,205.777
-36.054746,147.184388,233.949
-36.051231,147.252717,372.273
-36.060472,147.326086,180
-36.044085,147.38936,527.302
-36.040454,147.457673,606.269
-36.023997,147.52091,375.753
-36.033075,147.594284,277.441
-36.016545,147.657492,519.488
-36.025475,147.731024,416.026
-36.021588,147.799465,686.997
-36.013242,147.831127,877.805
-36.013693,147.936385,228.51
-36.009687,148.004861,388.241
-36.026967,148.099522,277.723
-36.073824,148.136068,691.006
-36.120668,148.172658,1067.793
-36.175939,148.177566,819.136
-36.235415,148.166606,722.775
-36.294877,148.155633,696.112
-36.354324,148.144645,796.034
-36.417955,148.117739,1210.65
-36.481729,148.143748,622.219
-36.545489,148.169797,879.14
-36.604905,148.159035,933.749
-36.65594,148.18023,1035.852
-36.715391,148.169576,836.966
-36.766457,148.190816,1421.587
-36.81333,148.228059,994.383
-36.847562,148.313288,1033.34
-36.873207,148.377285,750.599
-36.898827,148.441349,351.857
-36.92442,148.505477,604.203
-36.945733,148.585665,667.806
-36.979772,148.671363,994.829
-37.005269,148.735712,950.25
-37.043514,148.805594,946.344
-37.068959,148.870087,1007.987
-37.094378,148.934646,830.174
-37.153775,149.031874,813.864
-37.17486,149.112874,871.931
-37.187478,149.172375,805.319
-37.212864,149.23757,664.467
-37.259465,149.330253,437.917
-37.284802,149.395654,527.094
-37.310118,149.461136,476.177
-37.339775,149.510515,235.944
-37.360634,149.592317,372.42
-37.385962,149.658177,106.058
-37.406847,149.740375,109.803
-37.432091,149.806392,185.277
-37.465652,149.894405,113.397
-37.517256,149.862893,48.168
-37.54764,149.803552,5.167
-37.565094,149.738363,46.077
-37.599871,149.662874,43.249
-37.630163,149.603576,147.027
-37.647602,149.538531,164.828
-37.669341,149.457215,173.993
-37.686684,149.392157,162.036
-37.708304,149.310826,63.062
-37.725526,149.245754,82.691
-37.742785,149.180743,182.132
-37.755686,149.13198,0
-37.777117,149.050724,24.719
-37.79863,148.969593,0
-37.798671,148.915346,0
-37.802957,148.844881,0
-37.781523,148.709218,48.032
-37.751362,148.552041,0.566
-37.733833,148.400547,58.223
-37.737808,148.33028,63.585
-37.720314,148.23305,85.92
-37.719757,148.125107,77.224
-37.710809,148.049628,131.511
-37.710477,147.995718,179.161
-37.718434,147.909459,163.388
-37.735025,147.844711,31.971
-37.781395,147.77436,70.408
-37.836443,147.725436,1.489
-37.891474,147.676436,24.394
-37.950654,147.611147,26.755
-38.009905,147.5458,7.818
-38.035169,147.502332,0
-38.085656,147.41529,1
-38.127868,147.360694,1.834
-38.170044,147.306005,-0.871
-38.195219,147.262325,24.11
-38.258422,147.180083,40.928
-38.300616,147.125176,40.899
-38.35982,147.059054,50.86
-38.414945,147.009193,24.156
-38.457185,146.954037,38.731
-38.482395,146.910031,35.125
-38.528709,146.838322,51.815
-38.570931,146.782935,18.533
-38.613141,146.727464,14.649
-38.642351,146.666765,7.682
-38.697524,146.616269,0.03
-38.698365,146.670871,0
-38.665077,146.7481,0.653
-38.622839,146.803607,4.458
-38.58059,146.859031,18.943
-38.542411,146.89795,26.305
-38.491272,146.931623,34.578
-38.431964,146.998004,28.79
-38.385681,147.069471,27.012
-38.356401,147.129702,35.804
-38.335914,147.211457,34.449
-38.319485,147.276822,0
-38.290195,147.336841,0
-38.256718,147.413287,0
-38.240257,147.478554,0
-38.210862,147.53849,0
-38.194353,147.603665,0
-38.152014,147.658193,0
-38.122574,147.718012,0
-38.113822,147.696396,0
-38.126134,147.647567,0
-38.146934,147.566181,0
-38.179942,147.435861,12.759
-38.201056,147.408525,8.892
-38.255577,147.304837,18.94
-38.284845,147.24472,20.692
-38.301255,147.179415,34.633
-38.322993,147.206219,27.189
-38.289561,147.28267,0
-38.264369,147.326411,7.118
-38.252051,147.375378,0
-38.214471,147.467983,0
-38.185085,147.527898,0
-38.155673,147.58776,0
-38.126134,147.647567,0
-38.083923,147.702023,0
-38.041611,147.756411,0
-38.012149,147.816075,0
-37.969818,147.870345,0
-37.94033,147.929949,0
-37.898033,147.984186,0
-37.881388,148.049104,0
-37.856054,148.092414,0.238
-37.822344,148.168133,42.495
-37.805616,148.233012,8.164
-37.788844,148.297873,52.728
-37.767863,148.378969,60.388
-37.759651,148.465501,69.511
-37.751362,148.552041,0.566
-37.764177,148.557506,-0.98
-37.781068,148.492619,0
-37.802112,148.411486,9.664
-37.839899,148.265448,0
-37.856356,148.146462,0
-37.868883,148.097788,0
-37.885551,148.032874,0
-37.906351,147.951727,0
-37.922958,147.886795,0
-37.943682,147.805616,0.151
-37.968528,147.708159,18.012
-38.002079,147.632296,0
-38.031513,147.572617,0
-38.082053,147.485633,6.352
-38.137183,147.436353,6.233
-38.192283,147.38696,2.662
-38.247374,147.337481,2.037
-38.289561,147.28267,0
-38.344731,147.233045,5.319
-38.386989,147.178107,3.036
-38.442167,147.12832,0
-38.480332,147.089626,0
-38.517882,146.99644,4.335
-38.573143,146.946383,6
-38.615431,146.891034,0
-38.661783,146.819137,2.135
-38.673997,146.769737,0
-38.707302,146.692508,0.771
-38.749515,146.636832,2.162
-38.791732,146.581067,0
-38.838319,146.508659,0
-38.898564,146.496055,0
-38.945807,146.478294,0
-38.988991,146.477095,0
-39.06644,146.452938,0
-39.126869,146.440209,0
-39.187376,146.427472,0
-39.21767,146.42105,0
-39.251165,146.342785,0
-39.172476,146.312106,0
-39.107109,146.286606,0
-39.029657,146.311026,96.63
-38.969354,146.323871,93.899
-38.913134,146.320103,82.676
-38.882116,146.271699,40.401
-38.841959,146.201741,8.351
-38.831814,146.125394,17.815
-38.8517,146.042527,0
-38.867791,145.976126,96.176
-38.870785,145.904693,0
-38.873737,145.833241,0
-38.833459,145.763629,0
-38.794295,145.748721,0
-38.716021,145.719109,0
-38.646896,145.711049,0
-38.590887,145.707895,41.997
-38.563723,145.643526,24.469
-38.536606,145.579123,60.361
-38.552388,145.512895,19.28
-38.542101,145.436894,0
-38.522718,145.339436,17.202
-38.525396,145.268277,0
-38.502035,145.187392,52.958
-38.491634,145.111363,0
-38.472332,145.014295,56.238
-38.470717,144.959273,107.482
