latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.038,139.236,315.3,2.1,1.4,2020-12-12,01:25,T,41,6.0NRT,291.7,23.5,D
-13.233,133.562,324.2,1,1,2020-12-12,01:25,T,78,6.0NRT,293.7,10.1,D
-15.542,135.571,329.8,1.2,1.1,2020-12-12,01:25,T,66,6.0NRT,302.9,13.9,D
-15.584,135.732,328.9,1.2,1.1,2020-12-12,01:25,T,61,6.0NRT,299.7,18.6,D
-15.591,135.787,342.1,1.2,1.1,2020-12-12,01:25,T,87,6.0NRT,302.6,42.3,D
-15.592,135.719,332.2,1.2,1.1,2020-12-12,01:25,T,69,6.0NRT,302,22.4,D
-15.593,135.713,333.7,1.2,1.1,2020-12-12,01:25,T,81,6.0NRT,301.6,23.5,D
-15.602,135.7,328.5,1.2,1.1,2020-12-12,01:25,T,46,6.0NRT,298.7,18.5,D
-15.613,135.71,348.6,1.2,1.1,2020-12-12,01:25,T,89,6.0NRT,298.7,59.5,D
-14.198,126.228,316.6,2.4,1.5,2020-12-12,01:25,T,0,6.0NRT,292.1,20.5,D
-44.351,171.246,308.5,1.1,1.1,2020-12-12,02:25,A,0,6.0NRT,297.8,5.4,D
-44.353,171.236,311.2,1.1,1.1,2020-12-12,02:25,A,28,6.0NRT,299.3,5.7,D
-41.328,174.795,325.5,1,1,2020-12-12,02:30,A,59,6.0NRT,302.7,16.5,D
-41.326,174.807,321.9,1,1,2020-12-12,02:30,A,58,6.0NRT,304.5,12.7,D
-29.692,115.044,332.8,3.4,1.7,2020-12-12,03:10,T,85,6.0NRT,300,132.3,D
-29.705,115.008,326.1,3.4,1.7,2020-12-12,03:10,T,38,6.0NRT,301.8,77.9,D
-29.707,115.043,337.8,3.4,1.7,2020-12-12,03:10,T,88,6.0NRT,304.4,175.7,D
-29.736,115.006,335.4,3.4,1.7,2020-12-12,03:10,T,66,6.0NRT,300.8,125.7,D
-29.739,115.04,328.3,3.4,1.7,2020-12-12,03:10,T,60,6.0NRT,303.7,80.4,D
-29.746,114.998,327.7,3.4,1.7,2020-12-12,03:10,T,44,6.0NRT,300.6,65.9,D
-29.748,115.033,331.5,3.4,1.7,2020-12-12,03:10,T,71,6.0NRT,304.2,104.3,D
-29.846,115.061,327.3,3.4,1.7,2020-12-12,03:10,T,52,6.0NRT,302.5,71.1,D
-29.864,115.094,365.2,3.4,1.7,2020-12-12,03:10,T,94,6.0NRT,303.9,522.3,D
-29.867,115.131,338.3,3.4,1.7,2020-12-12,03:10,T,84,6.0NRT,300.3,160.6,D
-29.855,115.054,328.9,3.4,1.7,2020-12-12,03:10,T,71,6.0NRT,301.9,88.8,D
-29.858,115.09,327.1,3.4,1.7,2020-12-12,03:10,T,59,6.0NRT,302.7,72.5,D
-29.86,115.126,325.3,3.4,1.7,2020-12-12,03:10,T,40,6.0NRT,299,59.1,D
-29.874,115.088,350.4,3.4,1.7,2020-12-12,03:10,T,95,6.0NRT,302.6,300,D
-29.876,115.124,338.9,3.4,1.7,2020-12-12,03:10,T,84,6.0NRT,302.7,171.2,D
-29.698,115.049,337.8,3.4,1.7,2020-12-12,03:10,T,88,6.0NRT,301.3,184.6,D
-29.695,115.014,351.6,3.4,1.7,2020-12-12,03:10,T,90,6.0NRT,302,336.3,D
