latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.076,139.533,323.7,3.3,1.7,2021-01-04,01:35,T,72,6.0NRT,299.1,54.8,D
-37.055,174.495,311.2,1.3,1.1,2021-01-04,02:35,A,10,6.0NRT,299.7,12.4,D
-20.823,140.867,333.9,1,1,2021-01-04,04:20,A,79,6.0NRT,307.8,15.8,D
-32.279,116.599,429,1.2,1.1,2021-01-04,05:55,A,100,6.0NRT,331.4,595.6,D
-32.281,116.586,435.1,1.2,1.1,2021-01-04,05:55,A,100,6.0NRT,330.6,678.4,D
-32.282,116.573,333.6,1.2,1.1,2021-01-04,05:55,A,64,6.0NRT,312.2,23.1,D
-32.269,116.597,352.2,1.2,1.1,2021-01-04,05:55,A,96,6.0NRT,316.3,63.2,D
-32.271,116.585,363.7,1.2,1.1,2021-01-04,05:55,A,100,6.0NRT,313.1,103.3,D
-31.799,115.838,328.8,1.3,1.1,2021-01-04,05:55,A,70,6.0NRT,309.1,12.8,D
-30.982,115.65,368.6,1.3,1.1,2021-01-04,05:55,A,100,6.0NRT,314.4,135.5,D
-30.984,115.636,399.3,1.3,1.1,2021-01-04,05:55,A,100,6.0NRT,324.9,337.6,D
-30.985,115.622,354.4,1.3,1.1,2021-01-04,05:55,A,97,6.0NRT,313.9,80.9,D
-30.972,115.648,337.8,1.3,1.1,2021-01-04,05:55,A,85,6.0NRT,309.7,33.7,D
-30.973,115.634,420.9,1.3,1.1,2021-01-04,05:55,A,100,6.0NRT,323.3,564,D
-30.975,115.621,424.2,1.3,1.1,2021-01-04,05:55,A,100,6.0NRT,322.6,606.9,D
-32.289,116.601,374.3,1.2,1.1,2021-01-04,05:55,A,100,6.0NRT,321.6,146.2,D
-32.29,116.588,339.4,1.2,1.1,2021-01-04,05:55,A,87,6.0NRT,317.5,32.1,D
-32.278,116.612,347,1.2,1.1,2021-01-04,05:55,A,93,6.0NRT,318.4,48,D
-33.731,120.075,344.6,1,1,2021-01-04,05:55,A,91,6.0NRT,301.9,40.3,D
-33.732,120.064,343.3,1,1,2021-01-04,05:55,A,90,6.0NRT,306.3,38.4,D
-33.722,120.073,320.8,1,1,2021-01-04,05:55,A,44,6.0NRT,302.9,7.9,D
-33.723,120.062,323.4,1,1,2021-01-04,05:55,A,43,6.0NRT,306.9,11.2,D
-32.287,116.613,348.4,1.2,1.1,2021-01-04,05:55,A,93,6.0NRT,318.5,51.7,D
-20.287,119.443,366.2,1.2,1.1,2021-01-04,06:00,A,87,6.0NRT,310.1,99.5,D
-20.279,119.412,360.9,1.2,1.1,2021-01-04,06:00,A,87,6.0NRT,312.5,76.8,D
-20.268,119.421,342.6,1.2,1.1,2021-01-04,06:00,A,79,6.0NRT,312.7,23.8,D
-20.269,119.41,352.6,1.2,1.1,2021-01-04,06:00,A,89,6.0NRT,313.4,49.5,D
-20.283,119.408,338.4,1.2,1.1,2021-01-04,06:00,A,67,6.0NRT,311,15.9,D
-20.278,119.441,361.7,1.2,1.1,2021-01-04,06:00,A,75,6.0NRT,313.5,80.2,D
-20.533,117.86,317,1,1,2021-01-04,06:00,A,67,6.0NRT,305.5,8.8,D
-20.275,119.434,338.5,1.2,1.1,2021-01-04,06:00,A,73,6.0NRT,313.2,15.1,D
-20.274,119.445,340.3,1.2,1.1,2021-01-04,06:00,A,80,6.0NRT,312.4,19.6,D
-23.77,151.212,310.1,1,1,2021-01-04,15:15,A,69,6.0NRT,277.4,10.6,N
-28.591,148.092,302.6,1.1,1,2021-01-04,15:15,A,50,6.0NRT,291.2,4.7,N
-28.596,148.085,304.1,1.1,1,2021-01-04,15:15,A,58,6.0NRT,291.1,6.1,N
-30.948,115.528,310.9,1.3,1.1,2021-01-04,15:20,T,61,6.0NRT,294.3,11.4,N
-30.92,115.452,364.4,1.3,1.1,2021-01-04,15:20,T,100,6.0NRT,300.8,139.2,N
-30.917,115.465,379,1.3,1.1,2021-01-04,15:20,T,100,6.0NRT,304.1,211.5,N
-30.915,115.479,319.3,1.3,1.1,2021-01-04,15:20,T,98,6.0NRT,296.2,23.2,N
-30.93,115.455,332.4,1.3,1.1,2021-01-04,15:20,T,100,6.0NRT,296.9,43.7,N
-30.927,115.468,363.6,1.3,1.1,2021-01-04,15:20,T,100,6.0NRT,304.5,135.1,N
-30.925,115.481,405.1,1.3,1.1,2021-01-04,15:20,T,100,6.0NRT,311.8,404.8,N
