latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-45.70291,170.15883,332.5,0.39,0.36,2021-02-06,02:30,N,low,1.0NRT,302.7,2.6,D
-45.89725,168.61311,326.4,0.41,0.37,2021-02-06,02:30,N,low,1.0NRT,298.3,63.1,D
-45.89795,168.60776,367,0.41,0.37,2021-02-06,02:30,N,low,1.0NRT,329.9,63.1,D
-45.8938,168.61221,334.5,0.41,0.37,2021-02-06,02:30,N,nominal,1.0NRT,298.4,63.1,D
-45.88627,168.3373,327.1,0.42,0.37,2021-02-06,02:30,N,low,1.0NRT,298.7,3.1,D
-43.68973,171.75725,327.7,0.39,0.36,2021-02-06,02:36,N,nominal,1.0NRT,301.9,3.2,D
-43.69053,171.7524,351,0.39,0.36,2021-02-06,02:36,N,nominal,1.0NRT,309.6,5.2,D
-37.20166,174.72395,326.2,0.39,0.44,2021-02-06,02:36,N,nominal,1.0NRT,276.7,3.7,D
-44.22487,171.07182,336,0.38,0.36,2021-02-06,02:36,N,nominal,1.0NRT,297.8,7.3,D
-44.2208,171.07565,367,0.38,0.36,2021-02-06,02:36,N,high,1.0NRT,308,7.3,D
-43.69307,171.7583,341.1,0.39,0.36,2021-02-06,02:36,N,nominal,1.0NRT,308.6,3.2,D
-43.69386,171.75343,345.1,0.39,0.36,2021-02-06,02:36,N,nominal,1.0NRT,309.9,5.2,D
-27.37794,150.82491,349.9,0.68,0.74,2021-02-06,02:36,N,nominal,1.0NRT,286.8,9.4,D
-27.37761,150.83171,338.7,0.67,0.74,2021-02-06,02:36,N,nominal,1.0NRT,287,14.3,D
-28.9909,152.68405,326.9,0.54,0.68,2021-02-06,02:36,N,nominal,1.0NRT,288.5,6,D
-28.99229,152.68097,334.4,0.54,0.68,2021-02-06,02:36,N,nominal,1.0NRT,289.2,4.4,D
-44.22412,171.07666,354.7,0.38,0.36,2021-02-06,02:36,N,nominal,1.0NRT,308.2,7.3,D
-26.56463,150.58026,336.8,0.69,0.74,2021-02-06,02:36,N,nominal,1.0NRT,293.2,10.9,D
-26.56308,150.57736,330.9,0.69,0.74,2021-02-06,02:36,N,nominal,1.0NRT,291.9,11.2,D
-27.37856,150.82426,343.3,0.67,0.74,2021-02-06,02:36,N,nominal,1.0NRT,286.7,9.4,D
-27.37819,150.83107,342.6,0.67,0.74,2021-02-06,02:36,N,nominal,1.0NRT,287.3,9.4,D
-23.23627,149.88678,344.8,0.71,0.75,2021-02-06,02:42,N,nominal,1.0NRT,292.9,7.1,D
-23.23668,149.87967,339,0.71,0.75,2021-02-06,02:42,N,nominal,1.0NRT,292.6,7.1,D
-23.23201,149.88608,367,0.71,0.75,2021-02-06,02:42,N,high,1.0NRT,293.6,48.7,D
-23.23246,149.879,367,0.71,0.75,2021-02-06,02:42,N,high,1.0NRT,293,31.4,D
-23.21962,149.85686,339.7,0.71,0.75,2021-02-06,02:42,N,nominal,1.0NRT,295,17,D
-30.44714,136.85756,340,0.48,0.4,2021-02-06,04:18,N,low,1.0NRT,310.4,6.4,D
-22.40901,145.64894,345.5,0.47,0.48,2021-02-06,04:18,N,nominal,1.0NRT,290.9,8,D
-28.25476,150.45346,332.1,0.35,0.56,2021-02-06,04:18,N,nominal,1.0NRT,294.2,3,D
-28.99142,152.68037,329.4,0.45,0.63,2021-02-06,04:18,N,nominal,1.0NRT,289.8,4.1,D
-28.9903,152.68477,342.8,0.45,0.63,2021-02-06,04:18,N,nominal,1.0NRT,289.8,4.1,D
-29.09027,152.55516,327.5,0.44,0.62,2021-02-06,04:18,N,nominal,1.0NRT,289.5,3.3,D
-29.09099,152.55229,330.5,0.44,0.62,2021-02-06,04:18,N,nominal,1.0NRT,289.5,4.2,D
-32.996,137.58536,333.1,0.47,0.4,2021-02-06,04:18,N,low,1.0NRT,304.8,4.6,D
-32.99908,137.59109,339.5,0.47,0.4,2021-02-06,04:18,N,nominal,1.0NRT,305.9,4.6,D
-37.83425,144.78883,341.7,0.4,0.37,2021-02-06,04:18,N,nominal,1.0NRT,306,3.5,D
-38.22734,147.16365,345.4,0.46,0.39,2021-02-06,04:18,N,nominal,1.0NRT,303,10.9,D
-38.23092,147.16473,336.4,0.46,0.39,2021-02-06,04:18,N,nominal,1.0NRT,301.3,10.9,D
-41.13406,146.85233,328.5,0.41,0.37,2021-02-06,04:18,N,nominal,1.0NRT,294.5,3.3,D
-41.41526,147.15376,331.4,0.42,0.38,2021-02-06,04:18,N,nominal,1.0NRT,294,2.3,D
-27.66028,152.51575,340.5,0.47,0.64,2021-02-06,04:18,N,nominal,1.0NRT,289.2,2.1,D
-22.80767,149.7457,332.7,0.41,0.61,2021-02-06,04:18,N,nominal,1.0NRT,286.9,4.5,D
-22.80677,149.74966,348.6,0.41,0.61,2021-02-06,04:18,N,nominal,1.0NRT,287,4.5,D
-22.81233,149.75111,367,0.41,0.61,2021-02-06,04:18,N,low,1.0NRT,287.2,9.2,D
-23.18809,150.26877,340.3,0.43,0.62,2021-02-06,04:18,N,nominal,1.0NRT,287.5,8.5,D
-23.18896,150.26524,339.2,0.43,0.62,2021-02-06,04:18,N,nominal,1.0NRT,287.4,6.2,D
-23.18794,150.26958,335.9,0.43,0.62,2021-02-06,04:18,N,nominal,1.0NRT,286.9,9.1,D
-25.22388,151.44038,349.6,0.46,0.64,2021-02-06,04:18,N,nominal,1.0NRT,296.4,6.3,D
-25.22972,151.44197,344.2,0.46,0.64,2021-02-06,04:18,N,nominal,1.0NRT,296.2,6.3,D
-25.22423,151.4646,353,0.46,0.64,2021-02-06,04:18,N,nominal,1.0NRT,294.2,4.9,D
-25.23111,151.46187,338.1,0.46,0.64,2021-02-06,04:18,N,nominal,1.0NRT,292.2,3,D
-25.23001,151.4664,337.2,0.46,0.64,2021-02-06,04:18,N,nominal,1.0NRT,293.7,3,D
-25.4849,150.77487,342.3,0.42,0.61,2021-02-06,04:18,N,nominal,1.0NRT,290.7,4.3,D
