UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,-33.852738,141.080319,66.479,0,0,0,No Data,No Data
1179730889,2007-05-21T07:01:29Z,-33.868159,141.189587,57.307,10.24645,0,0,No Data,No Data
1179739181,2007-05-21T09:19:41Z,-33.902476,141.435372,47.54,33.28113,0,0,No Data,No Data
1179743783,2007-05-21T10:36:23Z,-33.921311,141.571870,54.749,46.06559,0,0,No Data,No Data
1179747463,2007-05-21T11:37:43Z,-33.936260,141.681044,43.981,56.28683,0,0,No Data,No Data
1179751141,2007-05-21T12:39:01Z,-33.951106,141.790192,35.769,66.50213,0,0,No Data,No Data
1179754029,2007-05-21T13:27:09Z,-33.939756,141.875999,41.106,74.52699,0,0,No Data,No Data
1179759538,2007-05-21T14:58:58Z,-33.961700,142.039574,59.02,89.82943,0,0,No Data,No Data
1179766163,2007-05-21T16:49:23Z,-33.941643,142.237371,77.776,108.2318,0,0,No Data,No Data
1179771642,2007-05-21T18:20:42Z,-33.962647,142.400204,61.0,123.4499,0,0,No Data,No Data
1179777117,2007-05-21T19:51:57Z,-33.983423,142.563021,72.51,138.659,0,0,No Data,No Data
1179783501,2007-05-21T21:38:21Z,-34.007375,142.752946,75.92,156.391,0,0,No Data,No Data
1179787146,2007-05-21T22:39:06Z,-34.020923,142.861462,73.434,166.518,0,0,No Data,No Data
1179790790,2007-05-21T23:39:50Z,-34.034370,142.969967,79.215,176.6407,0,0,No Data,No Data
1179795344,2007-05-22T00:55:44Z,-34.051038,143.105581,93.32,189.288,0,0,No Data,No Data
1179798984,2007-05-22T01:56:24Z,-34.064241,143.214061,77.179,199.4009,0,0,No Data,No Data
1179807206,2007-05-22T04:13:26Z,-34.071132,143.461564,67.044,222.2392,0,0,No Data,No Data
1179810063,2007-05-22T05:01:03Z,-34.058168,143.546187,66.168,230.176,0,0,No Data,No Data
1179818257,2007-05-22T07:17:37Z,-34.063774,143.792877,67.0,252.9368,0,0,No Data,No Data
1179822784,2007-05-22T08:33:04Z,-34.079123,143.927971,67.546,265.5116,0,0,No Data,No Data
1179826404,2007-05-22T09:33:24Z,-34.091293,144.036050,73.047,275.5686,0,0,No Data,No Data
1179830143,2007-05-22T10:35:43Z,-34.125780,144.140735,74.2,285.9541,0,0,No Data,No Data
1179833762,2007-05-22T11:36:02Z,-34.137753,144.248845,76.464,296.0055,0,0,No Data,No Data
1179840092,2007-05-22T13:21:32Z,-34.158471,144.438041,82.284,313.589,0,0,No Data,No Data
1179845598,2007-05-22T14:53:18Z,-34.198402,144.596915,80.476,328.882,0,0,No Data,No Data
1179850115,2007-05-22T16:08:35Z,-34.212833,144.732084,87.0,341.4307,0,0,No Data,No Data
1179858446,2007-05-22T18:27:26Z,-34.282946,144.968811,92.0,364.572,0,0,No Data,No Data
1179865717,2007-05-22T20:28:37Z,-34.327193,145.181794,97.479,384.7686,0,0,No Data,No Data
1179869437,2007-05-22T21:30:37Z,-34.360381,145.286778,99.145,395.102,0,0,No Data,No Data
1179874921,2007-05-22T23:02:01Z,-34.398774,145.445917,103.476,410.3359,0,0,No Data,No Data
1179877774,2007-05-22T23:49:34Z,-34.429096,145.523986,106.481,418.261,0,0,No Data,No Data
1179882277,2007-05-22T25:04:37Z,-34.442136,145.659279,109.64,430.7682,0,0,No Data,No Data
1179886871,2007-05-22T26:21:11Z,-34.477432,145.791565,115.0,443.5312,0,0,No Data,No Data
1179891727,2007-05-22T27:42:07Z,-34.534986,145.920939,120.128,457.0195,0,0,No Data,No Data
1179897426,2007-05-22T29:17:06Z,-34.594885,146.077551,131.253,472.8505,0,0,No Data,No Data
1179907362,2007-05-22T32:02:42Z,-34.644108,146.372801,139.305,500.4502,0,0,No Data,No Data
1179911857,2007-05-22T33:17:37Z,-34.655871,146.508395,178.189,512.9374,0,0,No Data,No Data
1179934622,2007-05-22T39:37:02Z,-34.802242,147.176176,222.407,576.1727,0,0,No Data,No Data
1179939117,2007-05-22T40:51:57Z,-34.813136,147.312135,278.504,588.6597,0,0,No Data,No Data
1179813621,2007-05-22T06:00:212995Z,-34.846311,147.445481,328.773,601.393,0,0,No Data,No Data
1179813620,2007-05-22T06:00:205803Z,-34.863159,147.663194,348.439,621.3709,0,0,No Data,No Data
1179813620,2007-05-22T06:00:202205Z,-34.871276,147.772180,250.04,631.367,0,0,No Data,No Data
1179813619,2007-05-22T06:00:195906Z,-34.885253,147.962991,519.826,648.8634,0,0,No Data,No Data
1179813619,2007-05-22T06:00:191406Z,-34.895042,148.099364,287.48,661.3644,0,0,No Data,No Data
